,Feature,Coefficient
0,Intercept,0.5014935227490898
1,num__cap_hit_pct_sum,0.0
2,num__season,-0.0
3,cat__position_level_two_defensive_line,0.0
4,cat__position_level_two_linebacker,0.0
5,cat__position_level_two_offensive_line,0.0
6,cat__position_level_two_quarterback,0.0
7,cat__position_level_two_running_back,-0.0
8,cat__position_level_two_secondary,-0.0
9,cat__position_level_two_special_team,-0.0
10,cat__position_level_two_tight_end,0.0
11,cat__position_level_two_wide_receiver,-0.0
12,cat__team_arizona-cardinals,-0.016786519468135457
13,cat__team_atlanta-falcons,-0.0
14,cat__team_baltimore-ravens,0.092656867345673
15,cat__team_buffalo-bills,0.00487338725426931
16,cat__team_carolina-panthers,-0.06331392972655463
17,cat__team_chicago-bears,-0.044095419612371484
18,cat__team_cincinnati-bengals,0.0
19,cat__team_cleveland-browns,-0.11057166106202888
20,cat__team_dallas-cowboys,0.027015489191729705
21,cat__team_denver-broncos,0.0
22,cat__team_detroit-lions,-0.0
23,cat__team_green-bay-packers,0.11345415058090277
24,cat__team_houston-texans,-0.000991510124273131
25,cat__team_indianapolis-colts,0.0
26,cat__team_jacksonville-jaguars,-0.16947377911821462
27,cat__team_kansas-city-chiefs,0.13788644955045687
28,cat__team_las-vegas-raiders,-0.07664060490886078
29,cat__team_los-angeles-chargers,-0.0
30,cat__team_los-angeles-rams,-0.0
31,cat__team_miami-dolphins,-0.0
32,cat__team_minnesota-vikings,0.025679858371444077
33,cat__team_new-england-patriots,0.10515393389345763
34,cat__team_new-orleans-saints,0.050044912390762114
35,cat__team_new-york-giants,-0.07284736039811626
36,cat__team_new-york-jets,-0.11640184540695304
37,cat__team_philadelphia-eagles,0.04927076486677626
38,cat__team_pittsburgh-steelers,0.0858512084806287
39,cat__team_san-francisco-49ers,0.01135357302758016
40,cat__team_seattle-seahawks,0.08879004057012982
41,cat__team_tampa-bay-buccaneers,-0.016293881329364483
42,cat__team_tennessee-titans,-0.01001093159416966
43,cat__team_washington-commanders,-0.042698650954218154
