,position_level_one_count_prop,position_level_one_cap_hit_prop,pct
count,448.0,448.0,448.0
mean,0.4632628918577658,0.4723701695069963,0.5002366071428571
std,0.06825216015002973,0.17137170650910308,0.19132862273689122
min,0.2,0.1001661167461016,0.0
25%,0.4203829258976317,0.3560529646745956,0.375
median,0.4575369635773531,0.47291309010391214,0.5
75%,0.5010683760683761,0.5895232722579252,0.647
max,0.7777777777777778,0.943454945809354,0.938
variance,0.0046583573651453065,0.02936826179184216,0.03660664187839564
